date,link,text
2018-05-08 11:19,https://newyork.craigslist.org/mnh/egr/d/sr-interior-designer-custom/6583203218.html,Sr. Interior Designer / Custom Residential
2018-05-08 10:28,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6583145605.html,Construction Project Manager and Assistant Project Manager
2018-05-08 10:22,https://newyork.craigslist.org/mnh/egr/d/interior-designer-master/6583139712.html,Interior Designer/ Master Draftsman
date,link,text
2018-05-20 17:57,https://newyork.craigslist.org/mnh/egr/d/may-june-junior-designers/6594450476.html,MAY-JUNE: JUNIOR DESIGNERS/ INTERIOR DESIGNERS/ ARCHITECTS/ PA'S/ PM'S
2018-05-20 16:42,https://newyork.craigslist.org/mnh/egr/d/senior-designer-architect/6594389193.html,SENIOR DESIGNER / ARCHITECT
2018-05-20 16:15,https://newyork.craigslist.org/mnh/egr/d/archtiect-3-5-years-experience/6594365244.html,Archtiect 3-5 years Experience
2018-05-20 13:26,https://newyork.craigslist.org/que/egr/d/experienced-nyc-dob-drafter/6594209192.html,EXPERIENCED NYC DOB DRAFTER
2018-05-20 07:44,https://newyork.craigslist.org/mnh/egr/d/freelance-expeditor-needed/6593977292.html,Freelance Expeditor Needed
2018-05-18 19:20,https://newyork.craigslist.org/wch/egr/d/full-time-insurance/6592897396.html,FULL TIME INSURANCE/CONSTRUCTION ESTIMATING POSITION
2018-05-18 17:42,https://newyork.craigslist.org/mnh/egr/d/intern-position-in/6592810439.html,Intern Position in Architecture and Design Company
2018-05-18 16:34,https://newyork.craigslist.org/mnh/egr/d/autocad-drafter/6592739581.html,AutoCAD Drafter
2018-05-18 15:16,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6592652861.html,Facade / Building Envelope Engineer or Architect
2018-05-18 15:15,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6592651293.html,Facade / Building Envelope Project Architect or Engineer
2018-05-18 14:47,https://newyork.craigslist.org/mnh/egr/d/free-career-fair-job-fair/6592618139.html,FREE Career Fair/Job Fair ~ 100's of Jobs ~ 25+ Employers
2018-05-18 14:41,https://newyork.craigslist.org/jsy/egr/d/electrical-engineer/6592611585.html,Electrical Engineer
2018-05-18 13:29,https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6592523533.html,Electrical Engineer
2018-05-18 12:52,https://newyork.craigslist.org/mnh/egr/d/intermediate-and-junior/6592477769.html,Intermediate and Junior Architects
2018-05-18 12:20,https://newyork.craigslist.org/jsy/egr/d/architectural-cad-surveyor/6592439952.html,Architectural  CAD Surveyor (Remote Position)
2018-05-18 11:50,https://newyork.craigslist.org/mnh/egr/d/workplace-strategist/6592403010.html,Workplace Strategist (NYCINT1860)
2018-05-18 11:49,https://newyork.craigslist.org/jsy/egr/d/workplace-strategist-njyint760/6592401731.html,Workplace Strategist (NJYINT760)
2018-05-18 11:14,https://newyork.craigslist.org/wch/egr/d/architect/6592361630.html,Architect
